

Date/Time:,27-Aug-11 12:24:17 AM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.36,3140.9060,1.0000,1.0000,-45.015,-0.189

Date/Time:,27-Aug-11 12:12:16 AM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.95,3143.8558,1.0000,1.0000,-45.012,-0.182

Date/Time:,27-Aug-11 12:00:18 AM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2003.46,3160.5158,1.0000,1.0000,-45.012,-0.185

Date/Time:,26-Aug-11 11:48:18 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.87,3169.4053,1.0000,1.0000,-45.013,-0.182

Date/Time:,26-Aug-11 11:36:22 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2004.43,3159.7648,1.0000,1.0000,-45.012,-0.181

Date/Time:,26-Aug-11 11:24:22 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2003.95,3164.4243,1.0000,1.0000,-45.011,-0.182

Date/Time:,26-Aug-11 11:12:24 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.94,3158.9195,1.0000,1.0000,-45.007,-0.180

Date/Time:,26-Aug-11 11:00:24 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.02,3156.0895,1.0000,1.0000,-45.006,-0.170

Date/Time:,26-Aug-11 10:48:28 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2004.70,3177.8705,1.0000,1.0000,-45.006,-0.170

Date/Time:,26-Aug-11 10:36:28 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.45,3179.8249,1.0000,1.0000,-45.002,-0.169

Date/Time:,26-Aug-11 10:24:32 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1998.83,3156.5668,1.0000,1.0000,-45.006,-0.166

Date/Time:,26-Aug-11 10:12:32 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1998.82,3166.2167,1.0000,1.0000,-45.006,-0.173

Date/Time:,26-Aug-11 10:00:35 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad0 FX
