Date/Time:,27-Aug-11 12:23:36 AM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4307.91,35.4720,1.0000,1.0000,29.985,-0.211

Date/Time:,27-Aug-11 12:11:35 AM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4307.91,38.1626,1.0000,1.0000,29.988,-0.211

Date/Time:,26-Aug-11 11:59:38 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4308.11,16.2575,1.0000,1.0000,29.988,-0.207

Date/Time:,26-Aug-11 11:47:38 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4307.91,35.2991,1.0000,1.0000,29.987,-0.206

Date/Time:,26-Aug-11 11:35:41 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4308.01,28.6419,1.0000,1.0000,29.988,-0.210

Date/Time:,26-Aug-11 11:23:41 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4308.11,34.2013,1.0000,1.0000,29.989,-0.205

Date/Time:,26-Aug-11 11:11:43 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4308.31,18.4700,1.0000,1.0000,29.993,-0.202

Date/Time:,26-Aug-11 10:59:44 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4308.01,28.6391,1.0000,1.0000,29.994,-0.207

Date/Time:,26-Aug-11 10:47:48 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4307.71,41.5685,1.0000,1.0000,29.994,-0.206

Date/Time:,26-Aug-11 10:35:48 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4308.01,25.4023,1.0000,1.0000,29.998,-0.204

Date/Time:,26-Aug-11 10:23:52 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4307.91,30.9860,1.0000,1.0000,29.994,-0.205

Date/Time:,26-Aug-11 10:11:51 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4308.11,21.0173,1.0000,1.0000,29.994,-0.195

