Date/Time:,8/27/2011 0:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.36,3140.906,1,1,-45.015,-0.189
,,,,,,,
Date/Time:,8/27/2011 0:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.95,3143.8558,1,1,-45.012,-0.182
,,,,,,,
Date/Time:,8/27/2011 0:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2003.46,3160.5158,1,1,-45.012,-0.185
,,,,,,,
Date/Time:,8/26/2011 23:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.87,3169.4053,1,1,-45.013,-0.182
,,,,,,,
Date/Time:,8/26/2011 23:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2004.43,3159.7648,1,1,-45.012,-0.181
,,,,,,,
Date/Time:,8/26/2011 23:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2003.95,3164.4243,1,1,-45.011,-0.182
,,,,,,,
Date/Time:,8/26/2011 23:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.94,3158.9195,1,1,-45.007,-0.18
,,,,,,,
Date/Time:,8/26/2011 23:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.02,3156.0895,1,1,-45.006,-0.17
,,,,,,,
Date/Time:,8/26/2011 22:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2004.7,3177.8705,1,1,-45.006,-0.17
,,,,,,,
Date/Time:,8/26/2011 22:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.45,3179.8249,1,1,-45.002,-0.169
,,,,,,,
Date/Time:,8/26/2011 22:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1998.83,3156.5668,1,1,-45.006,-0.166
,,,,,,,
Date/Time:,8/26/2011 22:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),1998.82,3166.2167,1,1,-45.006,-0.173
,,,,,,,
Date/Time:,8/26/2011 22:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2005.64,3165.4099,1,1,-45.003,-0.168
,,,,,,,
Date/Time:,8/26/2011 21:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2003.87,3166.7117,1,1,-45.002,-0.162
,,,,,,,
Date/Time:,8/26/2011 21:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2001.48,3157.8023,1,1,-45.001,-0.166
,,,,,,,
Date/Time:,8/26/2011 21:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2004.33,3175.512,1,1,-45.003,-0.165
,,,,,,,
Date/Time:,8/26/2011 21:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2003.55,3150.2475,1,1,-45.001,-0.158
,,,,,,,
Date/Time:,8/26/2011 21:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2001.51,3153.2364,1,1,-44.998,-0.157
,,,,,,,
Date/Time:,8/26/2011 20:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2004.45,3160.4732,1,1,-44.998,-0.153
,,,,,,,
Date/Time:,8/26/2011 20:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2006.91,3181.4872,1,1,-44.999,-0.159
,,,,,,,
Date/Time:,8/26/2011 20:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2002.85,3171.4778,1,1,-44.995,-0.15
,,,,,,,
Date/Time:,8/26/2011 20:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2001.99,3167.4221,1,1,-44.994,-0.15
,,,,,,,
Date/Time:,8/26/2011 20:01,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),2004.02,3167.9036,1,1,-44.993,-0.15
,,,,,,,
Date/Time:,8/26/2011 19:49,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad0 FX,,,,,,
