Date/Time:,8/27/2011 0:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.16,4.322,1,1,44.985,-0.216
,,,,,,,
Date/Time:,8/27/2011 0:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.32,4.3494,1,1,44.988,-0.217
,,,,,,,
Date/Time:,8/27/2011 0:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.39,4.0088,1,1,44.988,-0.212
,,,,,,,
Date/Time:,8/26/2011 23:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.45,4.4111,1,1,44.987,-0.211
,,,,,,,
Date/Time:,8/26/2011 23:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.45,4.3099,1,1,44.988,-0.216
,,,,,,,
Date/Time:,8/26/2011 23:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.55,4.3576,1,1,44.989,-0.209
,,,,,,,
Date/Time:,8/26/2011 23:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.43,4.4644,1,1,44.993,-0.207
,,,,,,,
Date/Time:,8/26/2011 23:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.51,4.5574,1,1,44.994,-0.214
,,,,,,,
Date/Time:,8/26/2011 22:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.02,4.5743,1,1,44.994,-0.213
,,,,,,,
Date/Time:,8/26/2011 22:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.21,4.587,1,1,44.998,-0.211
,,,,,,,
Date/Time:,8/26/2011 22:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.59,4.4681,1,1,44.994,-0.213
,,,,,,,
Date/Time:,8/26/2011 22:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.37,3.9928,1,1,44.994,-0.2
,,,,,,,
Date/Time:,8/26/2011 22:00,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.7,4.4314,1,1,44.997,-0.203
,,,,,,,
Date/Time:,8/26/2011 21:48,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.54,3.9665,1,1,44.998,-0.204
,,,,,,,
Date/Time:,8/26/2011 21:36,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.25,4.2844,1,1,44.999,-0.203
,,,,,,,
Date/Time:,8/26/2011 21:25,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.6,5.0559,1,1,44.997,-0.202
,,,,,,,
Date/Time:,8/26/2011 21:13,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.55,4.1906,1,1,44.999,-0.204
,,,,,,,
Date/Time:,8/26/2011 21:01,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.26,4.5017,1,1,45.002,-0.207
,,,,,,,
Date/Time:,8/26/2011 20:49,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.46,4.9889,1,1,45.002,-0.206
,,,,,,,
Date/Time:,8/26/2011 20:37,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.5,4.8697,1,1,45.001,-0.198
,,,,,,,
Date/Time:,8/26/2011 20:25,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.31,3.9362,1,1,45.005,-0.203
,,,,,,,
Date/Time:,8/26/2011 20:13,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.6,4.626,1,1,45.006,-0.195
,,,,,,,
Date/Time:,8/26/2011 20:01,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.5,5.0241,1,1,45.007,-0.195
,,,,,,,
Date/Time:,8/26/2011 19:49,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.43,4.7085,1,1,45.009,-0.193
,,,,,,,
Date/Time:,8/26/2011 19:37,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.6,4.3131,1,1,45.008,-0.189
,,,,,,,
Date/Time:,8/26/2011 19:25,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.35,4.8875,1,1,45.012,-0.191
,,,,,,,
Date/Time:,8/26/2011 19:13,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.43,4.6357,1,1,45.012,-0.189
,,,,,,,
Date/Time:,8/26/2011 19:01,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.45,4.527,1,1,45.012,-0.187
,,,,,,,
Date/Time:,8/26/2011 18:49,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.6,4.6591,1,1,45.017,-0.188
,,,,,,,
Date/Time:,8/26/2011 18:37,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10100.7,4.5688,1,1,45.018,-0.194
