Date/Time:,27-Aug-11 12:23:36 AM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4307.91,35.4720,1.0000,1.0000,29.985,-0.211

Date/Time:,26-Aug-11 06:36:31 PM
Film name:,SQC Acq-SR OCD VIS
Stage group:,4X Pad5 Vis
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),4308.01,22.2121,1.0000,1.0000,30.018,-0.184

Date/Time:,27-Aug-11 12:24:36 AM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad6 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10189.11,4.3220,1.0000,1.0000,44.985,-0.216

Date/Time:,26-Aug-11 06:37:34 PM
Film name:,SQC Acq-SR OCD Short2 FX
Stage group:,4X Pad6 FX
Lot ID:,SQC NSTD
Wafer ID:,# 24
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10189.71,4.5688,1.0000,1.0000,45.018,-0.194
