Date/Time:,8/27/2011 0:24,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10188.16,4.322,1,1,44.985,-0.216
,,,,,,,
Date/Time:,8/27/2011 0:12,,,,,,
Film name:,SQC Acq-SR OCD Short2 FX,,,,,,
Stage group:,4X Pad6 FX,,,,,,
Lot ID:,SQC NSTD,,,,,,
Wafer ID:,# 24,,,,,,
Title:,Point#,Thick1 (Å),MSE,gain_te,gain_tm,X(mm),Y(mm)
,1 (LAMPEXP),10187.32,4.3494,1,1,44.988,-0.217
